translation_id,target,target_type,event_count,weighted_event_count,corpus_words,events_per_10k_words
butler_1900,MENELAUS,character,21,13.7798,126812,1.6559947008169573
butler_1900,MIND,concept_or_setting,17,15.1929,126812,1.3405671387565845
butler_1900,MORTALS,group,37,30.965899999999998,126812,2.917704949058449
butler_1900,NAUSICAA,character,7,4.9078,126812,0.5519982336056525
butler_1900,NESTOR,character,15,7.17555,126812,1.1828533577263982
butler_1900,NIGHT,concept_or_setting,17,15.926,126812,1.3405671387565845
butler_1900,ODYSSEUS,character,205,131.11935,126812,16.165662555594107
butler_1900,PALACE,concept_or_setting,38,28.145699999999998,126812,2.996561839573542
butler_1900,PENELOPE,character,24,15.2096,126812,1.8925653723622369
butler_1900,PHAEACIANS,group,6,3.9503999999999997,126812,0.4731413430905592
butler_1900,POLYPHEMUS,character,2,1.8816,126812,0.15771378103018643
butler_1900,POSEIDON,character,19,11.4278,126812,1.498280919786771
butler_1900,SEA,concept_or_setting,85,69.13175,126812,6.702835693782923
butler_1900,SHIELD,concept_or_setting,1,0.9408,126812,0.07885689051509322
butler_1900,SHIP,concept_or_setting,22,17.8929,126812,1.7348515913320506
butler_1900,SKY,concept_or_setting,22,19.3931,126812,1.7348515913320506
butler_1900,SORROW,concept_or_setting,13,10.09195,126812,1.0251395766962117
butler_1900,SPEAR,concept_or_setting,9,7.9458,126812,0.7097120146358389
butler_1900,SPEECH,concept_or_setting,12,9.39225,126812,0.9462826861811184
butler_1900,STORM,concept_or_setting,26,20.57605,126812,2.0502791533924234
butler_1900,SUITORS,group,24,19.1511,126812,1.8925653723622369
butler_1900,SUN,concept_or_setting,8,7.2589,126812,0.6308551241207457
butler_1900,SWORD,concept_or_setting,11,8.3202,126812,0.8674257956660253
butler_1900,TEIRESIAS,character,9,5.9976,126812,0.7097120146358389
butler_1900,TELEMACHUS,character,48,31.41005,126812,3.7851307447244738
butler_1900,TROJANS,group,1,0.9408,126812,0.07885689051509322
butler_1900,TROY,place,5,4.165,126812,0.394284452575466
butler_1900,WINE,concept_or_setting,15,12.9262,126812,1.1828533577263982
butler_1900,ZEUS,character,63,37.3194,126812,4.967984102450872
chapman_1616,ACHAEANS,group,7,3.4806,138361,0.5059229118031815
chapman_1616,ACHILLES,character,5,3.24575,138361,0.3613735084308439
chapman_1616,AGAMEMNON,character,13,9.028599999999999,138361,0.9395711219201942
chapman_1616,AJAX,character,4,2.5909999999999997,138361,0.28909880674467514
chapman_1616,ALCINOUS,character,16,11.6823,138361,1.1563952269787006
chapman_1616,AMPHINOMUS,character,3,1.7312999999999998,138361,0.21682410505850636
chapman_1616,ANGER,concept_or_setting,15,12.03055,138361,1.084120525292532
chapman_1616,ANTINOUS,character,17,11.9002,138361,1.2286699286648695
chapman_1616,ARETE,character,3,2.4875,138361,0.21682410505850636
chapman_1616,ATHENA,character,98,58.9021,138361,7.082920765244541
chapman_1616,BLOOD,concept_or_setting,18,9.62565,138361,1.3009446303510384
chapman_1616,BOW,concept_or_setting,14,8.1351,138361,1.011845823606363
chapman_1616,CALYPSO,character,6,2.9114000000000004,138361,0.4336482101170127
chapman_1616,CIRCE,character,31,19.43235,138361,2.2405157522712322
chapman_1616,CLYTEMNESTRA,character,2,1.5323,138361,0.14454940337233757
chapman_1616,CYCLOPES,group,1,0.8597,138361,0.07227470168616879
chapman_1616,DAWN,concept_or_setting,6,5.0546,138361,0.4336482101170127
chapman_1616,DEATH,concept_or_setting,40,33.4569,138361,2.8909880674467514
chapman_1616,DEMODOCUS,character,8,5.467499999999999,138361,0.5781976134893503
chapman_1616,EARTH,concept_or_setting,29,21.40945,138361,2.095966348898895
chapman_1616,EURYCLEIA,character,6,2.97505,138361,0.4336482101170127
chapman_1616,EURYMACHUS,character,6,4.2825,138361,0.4336482101170127
chapman_1616,FATE,concept_or_setting,14,11.17195,138361,1.011845823606363
chapman_1616,FIRE,concept_or_setting,33,29.1076,138361,2.38506515564357
chapman_1616,GENERIC_CAVE,generic,4,2.9989,138361,0.28909880674467514
chapman_1616,GENERIC_CITY,generic,10,6.7152,138361,0.7227470168616879
chapman_1616,GENERIC_DAUGHTER,generic,9,6.8834,138361,0.6504723151755192
chapman_1616,GENERIC_FATHER,generic,33,24.8908,138361,2.38506515564357
chapman_1616,GENERIC_FRIEND,generic,9,6.9053,138361,0.6504723151755192
chapman_1616,GENERIC_GOD,generic,14,10.9131,138361,1.011845823606363
chapman_1616,GENERIC_GODDESS,generic,5,3.9541,138361,0.3613735084308439
chapman_1616,GENERIC_GUEST,generic,27,19.6225,138361,1.9514169455265573
chapman_1616,GENERIC_HERO,generic,13,10.1528,138361,0.9395711219201942
chapman_1616,GENERIC_HOST,generic,4,2.9253,138361,0.28909880674467514
chapman_1616,GENERIC_HUSBAND,generic,3,2.1432,138361,0.21682410505850636
chapman_1616,GENERIC_ISLAND,generic,4,3.1183,138361,0.28909880674467514
chapman_1616,GENERIC_KING,generic,27,21.6244,138361,1.9514169455265573
chapman_1616,GENERIC_MAN,generic,73,46.60245,138361,5.276053223090322
chapman_1616,GENERIC_MONSTER,generic,2,1.4925000000000002,138361,0.14454940337233757
chapman_1616,GENERIC_MOTHER,generic,10,8.3481,138361,0.7227470168616879
chapman_1616,GENERIC_NYMPH,generic,2,1.4726,138361,0.14454940337233757
chapman_1616,GENERIC_QUEEN,generic,9,7.0466,138361,0.6504723151755192
chapman_1616,GENERIC_SHORE,generic,10,6.33115,138361,0.7227470168616879
chapman_1616,GENERIC_SLAVE,generic,1,0.8557,138361,0.07227470168616879
chapman_1616,GENERIC_SON,generic,45,34.09445,138361,3.2523615758775954
chapman_1616,GENERIC_STRANGER,generic,3,1.27065,138361,0.21682410505850636
chapman_1616,GENERIC_WIFE,generic,10,5.162,138361,0.7227470168616879
chapman_1616,GENERIC_WOMAN,generic,4,3.2039,138361,0.28909880674467514
chapman_1616,GODS,group,33,27.67175,138361,2.38506515564357
chapman_1616,HELEN,character,12,8.6645,138361,0.8672964202340254
chapman_1616,HERA,character,4,2.4676,138361,0.28909880674467514
chapman_1616,HERMES,character,8,3.9641,138361,0.5781976134893503
chapman_1616,HOME,concept_or_setting,24,18.9239,138361,1.7345928404680508
chapman_1616,ITHACA,place,5,4.3879,138361,0.3613735084308439
chapman_1616,JOURNEY,concept_or_setting,13,11.6176,138361,0.9395711219201942
chapman_1616,LAERTES,character,32,23.0643,138361,2.312790453957401
chapman_1616,MELANTHIUS,character,3,1.9899999999999998,138361,0.21682410505850636
chapman_1616,MENELAUS,character,10,4.4815,138361,0.7227470168616879
chapman_1616,MIND,concept_or_setting,86,66.3478,138361,6.215624345010515
chapman_1616,MORTALS,group,83,65.53105000000001,138361,5.9988002399520095
chapman_1616,NAUSICAA,character,12,7.85455,138361,0.8672964202340254
chapman_1616,NESTOR,character,26,16.2583,138361,1.8791422438403884
chapman_1616,NIGHT,concept_or_setting,17,12.37275,138361,1.2286699286648695
chapman_1616,ODYSSEUS,character,250,165.17895,138361,18.068675421542196
chapman_1616,ORESTES,character,4,1.96215,138361,0.28909880674467514
chapman_1616,PALACE,concept_or_setting,46,40.3761,138361,3.3246362775637643
chapman_1616,PENELOPE,character,27,15.7927,138361,1.9514169455265573
chapman_1616,PHAEACIANS,group,3,1.4671500000000002,138361,0.21682410505850636
chapman_1616,POSEIDON,character,29,20.6881,138361,2.095966348898895
chapman_1616,SEA,concept_or_setting,97,78.22315,138361,7.010646063558372
chapman_1616,SHIELD,concept_or_setting,4,3.7014,138361,0.28909880674467514
chapman_1616,SHIP,concept_or_setting,30,26.4808,138361,2.168241050585064
chapman_1616,SKY,concept_or_setting,3,1.2418,138361,0.21682410505850636
chapman_1616,SORROW,concept_or_setting,9,4.12125,138361,0.6504723151755192
chapman_1616,SPEAR,concept_or_setting,16,14.2962,138361,1.1563952269787006
chapman_1616,SPEECH,concept_or_setting,40,30.0699,138361,2.8909880674467514
chapman_1616,STORM,concept_or_setting,15,12.9748,138361,1.084120525292532
chapman_1616,SUITORS,group,32,22.438200000000002,138361,2.312790453957401
chapman_1616,SUN,concept_or_setting,18,15.9389,138361,1.3009446303510384
chapman_1616,SWORD,concept_or_setting,7,6.1372,138361,0.5059229118031815
chapman_1616,TEIRESIAS,character,12,8.7163,138361,0.8672964202340254
chapman_1616,TELEMACHUS,character,36,23.1148,138361,2.6018892607020767
chapman_1616,TROJANS,group,1,0.8597,138361,0.07227470168616879
chapman_1616,TROY,place,7,6.0735,138361,0.5059229118031815
chapman_1616,WAR,concept_or_setting,6,5.4506,138361,0.4336482101170127
chapman_1616,WINE,concept_or_setting,24,20.108900000000002,138361,1.7345928404680508
chapman_1616,ZEUS,character,142,82.7391,138361,10.263007639435969
cowper_1791,ACHAEANS,group,2,1.8208,113783,0.1757731822855787
cowper_1791,ACHILLES,character,5,4.1114,113783,0.43943295571394675
cowper_1791,AGAMEMNON,character,9,6.7024,113783,0.7909793202851041
cowper_1791,AJAX,character,1,0.9552,113783,0.08788659114278935
cowper_1791,AMPHINOMUS,character,1,0.5771,113783,0.08788659114278935
cowper_1791,ANGER,concept_or_setting,7,6.4018,113783,0.6152061379995254
cowper_1791,ARETE,character,5,3.2197999999999998,113783,0.43943295571394675
