translation_id,translator,year,form,book,word_count,segmentation_method,segmentation_confidence
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,16,5386,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,17,6685,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,18,4743,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,19,6787,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,20,4400,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,21,4894,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,22,5434,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,23,4095,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,24,6116,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,1,4117,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,2,4201,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,3,4716,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,4,8068,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,5,4689,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,6,3442,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,7,3353,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,8,5603,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,9,5810,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,10,5699,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,11,6036,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,12,4598,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,13,4199,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,14,5387,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,15,5395,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,16,4550,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,17,5821,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,18,4152,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,19,6004,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,20,3814,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,21,4247,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,22,4542,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,23,3689,edition_specific_poem_only_html_selectors,0.995
butler_1900,Samuel Butler,1900,prose,24,5188,edition_specific_poem_only_html_selectors,0.995
murray_1919,A. T. Murray,1919,prose,1,4910,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,2,4807,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,3,5518,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,4,9380,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,5,5423,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,6,3642,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,7,3718,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,8,6353,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,9,6303,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,10,6181,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,11,6899,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,12,4856,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,13,4705,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,14,5965,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,15,5925,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,16,5153,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,17,6497,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,18,4702,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,19,6645,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,20,4258,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,21,4725,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,22,5493,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,23,4040,native_printed_book_start_pages_no_proportional_allocation,0.94
murray_1919,A. T. Murray,1919,prose,24,5988,native_printed_book_start_pages_no_proportional_allocation,0.94
