translation_id,attribute,category,valence,event_count,weighted_event_count,corpus_words,events_per_10k_words
butcher_lang_1879,red,color_hue,context_dependent,10,9.4565,134673,0.7425393360213257
butcher_lang_1879,righteous,moral_evaluation,positive,6,5.2894000000000005,134673,0.4455236016127955
butcher_lang_1879,rosy,color_complex,context_dependent,1,0.8358,134673,0.07425393360213257
butcher_lang_1879,rosy-fingered,color_complex,unassigned,21,17.8683,134673,1.559332605644784
butcher_lang_1879,royal,social_status,unassigned,1,0.9552,134673,0.07425393360213257
butcher_lang_1879,ruddy,color_hue,context_dependent,1,0.5771,134673,0.07425393360213257
butcher_lang_1879,sacred,moral_evaluation,positive,12,7.1749,134673,0.891047203225591
butcher_lang_1879,sad,affect_state,negative,2,1.8149000000000002,134673,0.14850786720426515
butcher_lang_1879,savage,behavior_disposition,negative,2,1.8149000000000002,134673,0.14850786720426515
butcher_lang_1879,scarlet,color_hue,context_dependent,1,0.5771,134673,0.07425393360213257
butcher_lang_1879,senseless,cognitive_evaluation,negative,2,0.27459999999999996,134673,0.14850786720426515
butcher_lang_1879,shameless,moral_evaluation,negative,11,9.4326,134673,0.8167932696234583
butcher_lang_1879,shining,luminosity,positive,31,17.56175,134673,2.3018719416661098
butcher_lang_1879,shrewd,cognitive_evaluation,positive,1,0.9552,134673,0.07425393360213257
butcher_lang_1879,silver,color_material,context_dependent,24,16.21455,134673,1.782094406451182
butcher_lang_1879,small,appearance_age,unassigned,7,2.9700999999999995,134673,0.519777535214928
butcher_lang_1879,sorrowful,affect_state,negative,5,4.1262,134673,0.37126966801066286
butcher_lang_1879,splendid,luminosity,positive,9,6.3959,134673,0.6682854024191932
butcher_lang_1879,steadfast,behavior_disposition,positive,54,44.32735,134673,4.0097124145151595
butcher_lang_1879,strong,agency_capacity,positive,41,27.9833,134673,3.044411277687435
butcher_lang_1879,subtle,cognitive_evaluation,unassigned,2,1.5720999999999998,134673,0.14850786720426515
butcher_lang_1879,tall,appearance_age,unassigned,21,15.4314,134673,1.559332605644784
butcher_lang_1879,tireless,agency_capacity,positive,1,0.7701,134673,0.07425393360213257
butcher_lang_1879,trusty,moral_evaluation,positive,3,2.5751,134673,0.22276180080639774
