translation_id,attribute,local_count,other_count,log_odds_ratio,z_score
butler_1900,grieving,6.0,1.0,3.4743806633111074,3.848162110739809
butler_1900,unhappy,16.0,41.0,1.0982940966748753,3.7825856816728027
butler_1900,kind,30.0,111.0,0.7298105113434814,3.5829387186398685
butler_1900,brave,30.0,113.0,0.711961185892275,3.5021156968868623
butler_1900,long,100.0,530.0,0.37647254385222384,3.476009314972176
butler_1900,little,20.0,65.0,0.8608504682606677,3.411209816307277
butler_1900,handsome,4.0,1.0,3.1074954191462103,3.3035033091846966
butler_1900,captain,4.0,2.0,2.5984681046710767,3.2996163229286326
butler_1900,melancholy,4.0,2.0,2.5984681046710767,3.2996163229286326
butler_1900,furious,9.0,21.0,1.2002888713426687,3.087573352355779
butler_1900,cunning,10.0,26.0,1.0920212800081694,3.001638131350751
butler_1900,beautiful,19.0,71.0,0.7227636607438201,2.8381155684285786
butler_1900,clever,3.0,0.0,3.9494263207189073,2.6237581500981397
butler_1900,comely,7.0,18.0,1.1134218204648763,2.5779344270334827
butler_1900,insolent,8.0,23.0,1.0001577066905476,2.505035470771496
butler_1900,blue,7.0,19.0,1.0609334046420882,2.47500661011075
butler_1900,valiant,9.0,29.0,0.8847659051030865,2.3782414809632244
butler_1900,narrow,4.0,8.0,1.3779424352626215,2.3679343923115566
butler_1900,chieftain,2.0,0.0,3.6154237915182525,2.3403766157756283
butler_1900,powerful,3.0,5.0,1.560833040885453,2.2863847793022276
butler_1900,bronze,20.0,91.0,0.5263619325452273,2.162280925986373
butler_1900,lovely,10.0,38.0,0.7194504308568686,2.0729978783380303
butler_1900,savage,7.0,24.0,0.833414347496177,2.0027642296903823
butler_1900,brilliant,1.0,0.0,3.1069539971577953,1.9052146751907404
butler_1900,copper,1.0,0.0,3.1069539971577953,1.9052146751907404
butler_1900,fearful,2.0,4.0,1.4248140819522552,1.809273622984627
butler_1900,wily,1.0,1.0,2.0104351683357695,1.7429934646662437
butler_1900,small,6.0,25.0,0.6506374673891502,1.4856910956889846
butler_1900,foolish,5.0,20.0,0.7012296901953459,1.4648624579312044
butler_1900,gray,10.0,48.0,0.48925759430054505,1.4429936750938954
butler_1900,glad,22.0,124.0,0.31164596970533687,1.3667576555354146
butler_1900,gold,23.0,132.0,0.29299374384388255,1.3151856306286227
butler_1900,distressed,2.0,7.0,0.9158927449100078,1.2572222010254108
butler_1900,feeble,2.0,7.0,0.9158927449100078,1.2572222010254108
