translation_id,category,event_count,weighted_event_count,corpus_words,events_per_10k_words,weighted_events_per_10k_words
chapman_1616,cognitive_evaluation,121,81.3654,138361,8.745238904026424,5.880660012575798
chapman_1616,color_complex,10,7.4625,138361,0.7227470168616879,0.5393499613330346
chapman_1616,color_hue,119,93.1233,138361,8.600689500654086,6.730458727531603
chapman_1616,color_material,74,52.1211,138361,5.348327924776491,3.7670369540549724
chapman_1616,luminosity,30,23.3765,138361,2.168241050585064,1.6895295639667247
chapman_1616,moral_evaluation,458,316.1488,138361,33.101813372265305,22.849560208440238
chapman_1616,scale_intensity,464,342.60445,138361,33.53546158238232,24.76163442010393
chapman_1616,social_status,92,64.53255,138361,6.649272555127529,4.664070800297772
cowper_1791,affect_state,128,86.03705,113783,11.249483666277037,7.5615030364817235
cowper_1791,agency_capacity,93,64.211,113783,8.173452976279409,5.643285903869647
cowper_1791,appearance_age,187,129.6126,113783,16.434792543701608,11.391209583153897
cowper_1791,behavior_disposition,66,44.83755,113783,5.8005150154240965,3.940619424694374
cowper_1791,cognitive_evaluation,131,95.45115,113783,11.513143439705406,8.388876194159057
cowper_1791,color_complex,24,16.3756,113783,2.1092781874269444,1.4391956619178612
cowper_1791,color_hue,87,64.25615,113783,7.646133429422672,5.647253983459745
cowper_1791,color_material,90,65.84805,113783,7.909793202851041,5.787160647899951
cowper_1791,luminosity,86,61.6324,113783,7.558246838279883,5.41666153994885
cowper_1791,moral_evaluation,361,253.7232,113783,31.727059402546953,22.29886714184017
cowper_1791,scale_intensity,431,289.8864,113783,37.87912078254221,25.477127514655088
cowper_1791,social_status,52,39.221,113783,4.570102739425046,3.4469999912113405
murray_1919,affect_state,122,82.1846,136668,8.92674217812509,6.013448649281471
murray_1919,agency_capacity,82,51.7029,136668,5.999941463985717,3.7831021160769165
murray_1919,appearance_age,384,255.36355,136668,28.09728685573799,18.684955512629145
murray_1919,behavior_disposition,79,50.0537,136668,5.780431410425264,3.6624301226329496
murray_1919,cognitive_evaluation,259,141.31785,136668,18.95103462405245,10.340229607516022
murray_1919,color_complex,42,30.8489,136668,3.073140749846343,2.257214563760354
murray_1919,color_hue,181,122.72985,136668,13.243773231480667,8.980145315655458
murray_1919,color_material,133,78.51165,136668,9.73161237451342,5.744698832206516
murray_1919,luminosity,69,42.7877,136668,5.048731231890421,3.130776772909533
murray_1919,moral_evaluation,443,281.6345,136668,32.41431790909357,20.60720139315714
murray_1919,scale_intensity,541,344.18525,136668,39.58497965873504,25.184040887405974
murray_1919,social_status,37,22.50065,136668,2.7072906605789213,1.6463729622150027
pope_1726,affect_state,172,129.11125,111063,15.486705743586974,11.625046144980779
pope_1726,agency_capacity,90,59.73865,111063,8.103508819318765,5.378807523657744
pope_1726,appearance_age,205,149.21925,111063,18.45799231067052,13.43555009319035
pope_1726,behavior_disposition,199,147.6025,111063,17.917758389382602,13.289979561149977
pope_1726,cognitive_evaluation,79,58.3178,111063,7.11307996362425,5.250875629147421
pope_1726,color_complex,21,18.4712,111063,1.8908187245077117,1.6631281344822308
pope_1726,color_hue,112,84.5155,111063,10.084366530707797,7.609689995768168
pope_1726,color_material,78,53.942949999999996,111063,7.02304097674293,4.856968567389679
pope_1726,luminosity,104,77.8669,111063,9.36405463565724,7.011056787589027
pope_1726,moral_evaluation,433,323.99995,111063,38.98688131961139,29.17262724759821
pope_1726,scale_intensity,486,365.23035,111063,43.75894762432133,32.88497069230977
pope_1726,social_status,101,65.52125,111063,9.093937675013281,5.899466969197662
