event_id,translation_id,year,target,attribute,category,extraction_confidence
c051428ed7bdd2ccf1d4,butcher_lang_1879,1879,ZEUS,good,moral_evaluation,0.5771
e3d3dd1148f5974c412e,butcher_lang_1879,1879,GENERIC_GOD,wise,cognitive_evaluation,0.8557
47e466519717aca25373,butcher_lang_1879,1879,HERMES,great,scale_intensity,0.9552
80283fd17b67f29a3c7d,butcher_lang_1879,1879,ODYSSEUS,great,scale_intensity,0.9552
0dfe16e08539c09d8e6d,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
5285e93d90de380bafef,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.8557
add61f89f658cde4b28a,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
491d07d494afb56621d3,butcher_lang_1879,1879,WINE,red,color_hue,0.8597
67b1d7ffe819ba1e07cb,butcher_lang_1879,1879,HOME,good,moral_evaluation,0.8865
aa8c01be9a8761aeeecf,butcher_lang_1879,1879,SKY,wide,scale_intensity,0.8597
fe2963b05bfca5df9d33,butcher_lang_1879,1879,STORM,fair,appearance_age,0.9552
b594679e506681e05977,butcher_lang_1879,1879,ODYSSEUS,steadfast,behavior_disposition,0.9552
162caae7047ead816d91,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
9d741f1f135b666defe4,butcher_lang_1879,1879,GENERIC_GODDESS,great,scale_intensity,0.7363
ccad6ebe6164ab97f71e,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
a94856ef8a6289b3e7ba,butcher_lang_1879,1879,EARTH,wide,scale_intensity,0.8865
96048a2163abd8daebce,butcher_lang_1879,1879,MIND,righteous,moral_evaluation,0.8597
1bb610a2be444d054432,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.8557
fdfa6e1a89c170dcc019,butcher_lang_1879,1879,ODYSSEUS,divine,moral_evaluation,0.9552
b7ba1c8e91fe3e76b846,butcher_lang_1879,1879,ODYSSEUS,good,moral_evaluation,0.5771
24cd224de4e61ea403ff,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
a0d219fd3b077162760d,butcher_lang_1879,1879,ZEUS,noble,moral_evaluation,0.5771
a8705f9f0ae032598aa8,butcher_lang_1879,1879,ZEUS,wise,cognitive_evaluation,0.5771
c94fc304bfe1be7b54df,butcher_lang_1879,1879,PENELOPE,wise,cognitive_evaluation,0.9552
3653690c0d3d4506cc09,butcher_lang_1879,1879,MIND,patient,affect_state,0.7363
05fcddfbed598bd9ac2d,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
fea2b4c0ca1a1f1644c4,butcher_lang_1879,1879,SEA,wine-dark,color_complex,0.8597
d4e49564a28d026c3524,butcher_lang_1879,1879,ODYSSEUS,fair,appearance_age,0.5771
69a30af3792b8183d5e5,butcher_lang_1879,1879,ODYSSEUS,golden,color_material,0.5771
f9c2d92e9774e74044ac,butcher_lang_1879,1879,ODYSSEUS,great,scale_intensity,0.5771
29a4297557b1609a1abf,butcher_lang_1879,1879,ODYSSEUS,rosy-fingered,color_complex,0.8597
d87e20ce9a2b89f0a585,butcher_lang_1879,1879,ODYSSEUS,shining,luminosity,0.5771
d0c1aa1f64c54cb0719d,butcher_lang_1879,1879,ODYSSEUS,great,scale_intensity,0.8358
c3962895a9942813d901,butcher_lang_1879,1879,ODYSSEUS,bronze,color_material,0.5771
a2cf744c700d1cbb0e74,butcher_lang_1879,1879,ODYSSEUS,great,scale_intensity,0.5771
b77f9c28f1ff2dfdf5be,butcher_lang_1879,1879,SKY,long,scale_intensity,0.8358
c0f88ff0f2404433183a,butcher_lang_1879,1879,CALYPSO,tall,appearance_age,0.9552
54f0e07ff019f19a6705,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
7c5cea19f9c4720f3d02,butcher_lang_1879,1879,CALYPSO,bronze,color_material,0.5771
d2500e5598a0dabd7bf8,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
df4f0095ecc9776126e5,butcher_lang_1879,1879,ODYSSEUS,long,scale_intensity,0.5771
281e7e7cf617c2ddb013,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
f7a7ccf2c4a21f0d5a3f,butcher_lang_1879,1879,SEA,fair,appearance_age,0.9552
ef74788eb595bd27cab8,butcher_lang_1879,1879,CALYPSO,fair,appearance_age,0.9552
5f5d3e9ef063cb3dbff8,butcher_lang_1879,1879,SEA,great,scale_intensity,0.8597
9ed577141169f53427ca,butcher_lang_1879,1879,STORM,gentle,moral_evaluation,0.9552
566a61f60fa1fe4a265e,butcher_lang_1879,1879,WINE,dark,color_hue,0.8597
8fd2c9443f6bc9a961bc,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.7701
221d82a233aa4d23ade0,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
e2592aaed5a7b1148790,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
fb4f491a077ba6eec59c,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
ac6c84000f9070c54bab,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
077d893708c95a443c6e,butcher_lang_1879,1879,EARTH,great,scale_intensity,0.8865
44d0a98ec2a6acd84402,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
e91b85471480752ce734,butcher_lang_1879,1879,SEA,great,scale_intensity,0.9552
f4e3aadf3bf8b5c79bb9,butcher_lang_1879,1879,MIND,great,scale_intensity,0.8597
52fade772c8c8f29294e,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.6627
ddec70cdffde3c13c476,butcher_lang_1879,1879,SEA,deep,scale_intensity,0.7363
0bce1b4b00efe3b1d9b1,butcher_lang_1879,1879,SKY,wide,scale_intensity,0.8597
3b3cdea07206b67162d0,butcher_lang_1879,1879,ZEUS,wise,cognitive_evaluation,0.9552
